Customer	23 227 87 237 
Name	91 227 129 236 
:	160 231 163 238 
BONDADA	175 227 247 235 
NAGESWAR	255 227 341 235 
RAO	345 227 376 235 
SAC	507 227 537 236 
Code	542 227 576 236 
:	656 229 659 236 
997133/Accident	668 227 765 235 
and	769 227 791 235 
Health	795 227 832 234 
Insurance	836 227 893 235 
Services	897 227 947 235 
Proposer's	23 244 92 255 
Code	96 244 132 253 
:	160 250 163 256 
26491623	174 244 239 253 
Issue	508 245 542 254 
Office	546 245 585 254 
Code	589 245 624 253 
:	655 247 659 253 
613003	668 245 717 253 
Proposer's	23 263 92 273 
Name	97 263 136 272 
:	160 267 163 273 
BONDADA	174 263 247 273 
NAGESWAR	255 263 341 272 
RAO	346 263 376 272 
Issue	508 265 542 273 
Office	546 264 584 273 
Name	589 265 627 273 
:	656 267 659 273 
Branch	669 265 714 273 
Office	719 264 757 273 
-	761 268 766 271 
Tanuku	771 265 818 273 
Address	22 282 76 291 
:	160 285 163 291 
H	175 281 184 290 
NO-4-108,I	189 281 262 291 
OB	274 281 295 290 
STREET,NEAR	299 281 402 291 
Address	506 281 561 290 
:	656 284 659 291 
Door	668 283 700 291 
No.32-11-19,1st	704 282 809 292 
Floor,	814 282 850 293 
|	175 294 178 303 
OB,	182 294 207 304 
Opp.	668 297 698 307 
Ammana	704 297 763 305 
Plaza,	767 296 807 307 
NIDAMARRU	175 310 263 318 
Velpur	668 310 711 321 
Road,	715 310 752 321 
Tanuku,	754 310 806 321 
W.G.Dist-	810 310 875 320 
MANDAL,PEDANINDRAKOLANU	178 322 397 333 
534222.	668 323 721 332 
Pedanindrakolanu,West	172 355 327 365 
Godavari,	331 355 394 365 
Andhra	396 355 442 364 
Pradesh	171 367 225 377 
-534195	230 367 284 377 
Phone	24 382 65 391 
No	71 382 89 391 
:	160 384 164 391 
/9490206764/	174 382 266 391 
Phone	509 383 551 392 
No	556 383 574 392 
:	656 384 660 391 
08819	668 383 709 391 
295677	713 383 762 391 
E-mail	24 400 65 409 
Id	69 400 81 409 
:	160 403 164 409 
jayaprakash.bondada1973@gmail.o	174 400 409 412 
E-mail	509 400 551 408 
Id	555 400 567 409 
:	657 402 661 408 
Tanuku.bo@starhealth.in	668 400 831 409 
om	175 415 195 422 
Proposer	23 431 82 442 
GSTIN	86 431 132 440 
:	159 434 164 441 
-	176 437 182 440 
Place	511 430 546 440 
of	551 430 564 439 
Supply	567 430 612 442 
:	656 434 661 441 
-	671 436 677 439 
Proposal	23 449 80 460 
Date	84 449 115 458 
:	160 451 163 458 
28/01/2022	175 448 248 456 
Fulfiller	509 449 556 458 
Code	560 449 595 458 
:	657 451 661 458 
SH52411	667 448 726 457 
Date	24 465 55 473 
of	58 465 71 473 
Inception	76 465 135 476 
of	139 465 152 473 
first	155 465 179 474 
policy	183 465 221 476 
:	265 467 268 474 
28/01/2022	290 465 364 474 
Renewal	24 479 81 488 
Year	85 479 116 488 
:	160 481 164 488 
First	176 479 204 488 
Year	208 479 240 488 
Receipt	25 495 74 506 
No	78 495 96 503 
:	160 497 164 504 
1586000754	176 496 257 505 
Receipt	25 510 74 520 
Date	78 510 108 519 
:	160 512 164 519 
27/01/2023	176 511 249 520 
Intermediary	502 510 614 523 
Code	619 510 664 520 
:	674 513 677 520 
LC0000000371	690 510 834 523 
Premium	26 529 85 538 
:Rs	91 529 112 538 
38,250	119 529 164 539 
/-	172 529 182 537 
Name	508 533 553 543 
:	655 539 658 547 
M/S.TURTLEMINT	665 533 825 543 
INSURANCE	829 533 936 543 
CGST	25 547 66 556 
@9%	71 547 106 557 
:	112 549 115 556 
3,443/-	121 547 170 557 
SGST	180 548 221 557 
/	224 548 229 557 
UTGST	233 548 282 557 
@9%	288 548 323 557 
3,443/-	335 547 383 557 
BROKING	666 549 751 559 
SERVICES	758 549 847 559 
PRIVATE	852 550 932 560 
Phone	509 563 556 573 
No	562 563 584 573 
Stamp	27 569 69 580 
Duty	73 569 103 580 
:Re	108 569 130 578 
1	141 569 146 577 
/-	154 569 163 577 
Total	216 570 249 578 
Premium	254 570 312 578 
:Rs	318 569 339 578 
5,136	354 570 390 579 
/-	395 570 404 578 
:	655 567 658 574 
18002060101/9937775334	665 563 861 575 
E-mail	509 592 562 602 
Id	566 592 582 602 
:	655 596 658 603 
statement.invictus@turtlemint.com	663 593 938 603 
Total	24 632 58 641 
Premium	64 632 125 641 
In	131 632 142 641 
Words	147 632 192 641 
:	222 634 226 641 
Rupees	231 632 283 643 
Forty	288 632 324 643 
Five	333 632 362 641 
Thousand	366 632 435 641 
One	441 632 469 641 
Hundred	474 632 532 642 
Thirty	537 632 578 643 
Six	587 632 608 641 
Only	613 632 645 643 
Period	30 651 75 660 
Of	80 651 96 660 
Insurance	101 651 169 660 
From	218 651 253 660 
:	292 653 295 660 
28/01/2023	309 651 391 661 
00:00:00	396 651 461 661 
Hrs	469 651 495 661 
To	606 652 624 660 
:	652 654 656 661 
Midnight	672 650 740 663 
Of	745 650 762 660 
27/01/2024	767 650 849 660 
Floater	33 672 81 681 
Sum	86 672 117 681 
Insured	123 672 174 681 
Rs.	179 672 201 681 
1000000	219 672 275 681 
OP	381 672 401 681 
Limit	406 672 440 681 
Rs.	445 672 467 681 
2400	560 673 592 681 
Policy	701 673 743 684 
Type	747 673 782 683 
:	826 676 830 682 
Floater	843 673 889 683 
Installment	24 690 87 698 
Facility	91 690 132 700 
Optn	135 690 164 699 
:No	168 690 188 697 
Premium	302 690 354 698 
Payment	358 690 410 700 
Frequency	414 690 475 700 
:Annual	479 690 523 698 
Installment	639 690 703 698 
Amount	706 690 752 698 
Rs.	755 690 775 698 
:	778 691 782 697 
0	785 690 792 698 
Details	21 706 68 714 
of	72 706 86 714 
Insured	91 706 143 715 
Persons	148 706 205 714 
:	211 708 214 714 
SI.	27 725 42 733 
Name	108 730 144 738 
Sex	221 728 243 737 
Date	275 728 303 736 
of	307 728 319 736 
Age	354 727 385 739 
in	389 727 403 737 
Relationship	446 726 523 736 
with	527 726 553 734 
ID	636 726 649 734 
Card	652 726 682 734 
No	686 726 703 734 
Co-Pay	762 729 812 740 
Inception	850 726 914 737 
Date	919 726 951 734 
No.	25 736 45 744 
Birth	282 738 312 747 
Yrs	366 741 391 751 
Proposer	471 737 528 747 
1	31 766 37 774 
BONDADA	96 765 169 774 
M	225 765 237 774 
28/08/1956	262 766 335 775 
66	370 766 386 774 
SELF	481 765 517 774 
26491623-1	625 763 701 772 
30	778 764 795 773 
28/01/2022	866 767 939 775 
NAGESWAR	70 778 155 787 
RAO	159 778 191 787 
Details	28 799 72 808 
of	76 799 89 808 
Pre	94 799 116 808 
Existing	121 799 171 810 
Diseases	176 799 236 808 
relating	240 799 288 810 
to	292 799 304 807 
the	308 799 329 807 
above	334 799 373 807 
person	378 800 422 810 
NONE	458 800 499 809 
Entered	78 840 123 849 
by	126 840 140 850 
:	172 843 175 849 
PREMIA	181 842 231 850 
For	622 839 642 847 
Star	645 839 669 847 
Health	673 839 710 847 
and	714 839 736 847 
Allied	739 839 771 847 
Insurance	776 839 832 847 
Company	836 839 892 849 
Ltd.	896 839 917 847 
Approved	76 861 132 871 
by	136 861 149 871 
:	170 862 173 868 
PORTAL	179 862 232 870 
IRDAI	78 882 125 893 
Regn.	131 882 179 896 
No	186 882 208 893 
129	216 883 245 893 
R.Mor	747 865 845 893 
Corporate	75 898 159 911 
Identity	166 898 228 912 
Number	235 898 301 909 
L66010TN2005PLC056649	312 899 532 909 
Email	75 913 121 924 
ID	128 913 147 924 
:	151 916 155 924 
info@starhealth.in	162 913 318 924 
Authorised	708 915 771 923 
Signatory	775 915 831 925 
2	853 934 862 943 
of	874 933 886 942 
4	892 933 900 942 

Attached	25 79 88 88 
to	92 80 106 88 
and	111 79 136 88 
forming	141 79 195 90 
part	200 80 227 90 
of	232 79 246 88 
Policy	250 79 292 90 
No.	298 79 320 88 
P/613003/01/2023/000533	335 80 509 88 
2	30 124 39 132 
BONDADA	89 123 162 133 
P	166 124 175 132 
F	227 123 236 132 
28/09/1957	262 125 335 133 
65	370 124 386 133 
SPOUSE	468 123 530 133 
26491623-2	625 121 704 130 
30	779 122 795 131 
28/01/2022	866 125 939 133 
SHESARATNAM	76 136 189 145 
Details	28 157 72 166 
of	76 157 89 166 
Pre	94 157 116 166 
Existing	121 157 171 168 
Diseases	176 157 236 166 
relating	241 157 288 168 
to	292 157 305 166 
the	308 157 329 166 
above	334 157 373 166 
person	378 159 425 168 
Hypertension	467 157 553 168 
and	557 157 582 166 
its	586 157 601 166 
complications	604 157 694 168 
Please	23 176 68 184 
check	72 176 111 184 
whether	115 176 168 185 
the	172 176 192 185 
details	197 176 239 184 
given	244 176 279 187 
by	284 176 300 187 
you	304 178 328 187 
about	332 176 369 184 
the	374 176 394 185 
insured	399 176 447 184 
persons	452 177 504 187 
in	509 176 520 185 
the	525 176 545 185 
proposal	550 176 606 187 
form	611 176 640 185 
are	645 177 666 185 
incorporated	671 176 752 187 
correctly	757 176 813 187 
in	818 176 829 185 
the	833 176 854 185 
policy	859 176 896 187 
schedule.	901 176 963 184 
If	24 189 32 198 
you	35 191 59 200 
find	64 189 88 198 
any	92 191 115 200 
discrepancy,	120 189 202 200 
please	207 189 250 200 
inform	255 189 295 198 
us	300 191 315 198 
within	320 189 358 197 
15	363 189 378 197 
days	383 189 414 200 
from	418 189 448 198 
the	452 189 472 198 
date	477 189 506 197 
of	510 189 523 197 
receipt	527 189 572 200 
of	576 189 589 198 
the	592 189 613 198 
policy,	618 189 659 200 
failing	663 189 702 200 
which	706 189 744 197 
the	748 189 769 198 
details	774 189 816 198 
relating	821 189 869 200 
to	873 190 886 198 
the	889 189 910 198 
insured	915 189 963 197 
person	22 203 67 212 
given	71 202 106 213 
in	111 202 122 210 
the	126 202 146 210 
policy	151 202 189 213 
schedule	193 201 252 210 
are	256 203 277 210 
deemed	281 201 334 210 
to	338 202 350 210 
have	355 201 386 210 
been	391 201 424 210 
accepted	427 201 487 212 
by	491 201 507 212 
you.	510 203 538 213 
Warranted	22 214 91 223 
that	95 214 121 223 
in	124 214 135 223 
case	140 216 171 223 
of	175 214 188 223 
dishonour	192 214 257 223 
of	261 214 274 223 
premium	277 214 334 225 
cheque(s),	338 214 407 225 
the	416 214 436 223 
Company	441 214 504 225 
shall	508 214 538 223 
not	543 215 564 223 
be	568 214 584 223 
liable	588 214 622 223 
under	626 214 664 223 
the	668 214 688 223 
policy	693 214 731 225 
and	735 214 759 223 
the	763 214 784 223 
policy	788 214 826 225 
shall	830 214 859 223 
be	864 214 881 223 
void	885 214 912 223 
abinitio	916 214 963 223 
(from	23 227 56 237 
inception).	61 227 128 237 
Expenses	23 240 87 250 
relating	92 240 139 250 
to	143 240 156 248 
the	159 240 180 248 
hospitalisation	185 239 278 250 
will	281 239 302 248 
be	306 239 322 248 
considered	326 239 398 248 
in	403 239 414 248 
proportion	419 240 485 250 
to	488 240 501 248 
the	505 240 526 248 
room	529 241 562 248 
rent	567 240 593 248 
stated	596 240 636 248 
in	641 240 652 248 
the	656 240 676 248 
policy.	681 240 722 250 
IMPORTANT	22 309 101 317 
IN	23 320 36 328 
THE	39 320 66 328 
EVENT	70 320 114 327 
OF	118 320 136 328 
HOSPITALIZATION	141 320 259 328 
OF	263 320 281 328 
INSURED	286 320 344 328 
PERSON,	349 320 407 329 
INTIMATION	412 320 488 327 
SHOULD	492 320 547 327 
BE	552 320 570 328 
GIVEN	574 320 614 327 
TO	618 320 637 328 
THE	641 320 667 328 
COMPANY	671 320 738 328 
IMMEDIATELY,	743 320 836 329 
HOWEVER,	841 320 911 329 
WITHIN	916 320 962 327 
24	22 331 38 339 
HRS	41 330 68 338 
FROM	72 330 111 338 
THE	114 330 140 338 
TIME	144 330 175 338 
OF	179 330 197 338 
ADMISSION.	200 330 278 338 
Sector	25 344 70 353 
Classification	74 344 174 354 
Rural	27 364 58 373 
Toll	28 387 53 396 
Free	58 387 89 396 
No :	94 387 121 396 
1800	127 387 158 396 
425	162 387 187 396 
2255	191 387 225 396 
1800	237 387 269 396 
102 4477	268 387 333 395 
Email:	351 387 393 396 
support@starhealth.in,	399 387 561 398 
Fax	564 387 588 396 
No:	593 387 616 396 
1800 425 5522.	622 387 724 396 
Nominee	21 409 82 418 
Details	87 409 134 418 
Nominee	146 432 208 441 
Details	212 432 259 441 
for	268 432 288 441 
the	291 432 314 441 
proposer	318 433 382 443 
Appointee	699 430 772 441 
Details	781 430 828 439 
S.No.	26 458 64 467 
Name	159 457 199 467 
Relationship	314 455 401 466 
Age	454 457 482 467 
%	524 459 538 468 
Appointee	608 453 681 464 
Age	745 459 772 470 
Relationship	836 454 924 465 
with	307 467 336 477 
proposer	341 469 404 478 
Name	625 466 665 474 
with	829 467 859 476 
Nominee	864 467 926 476 
1	42 494 48 502 
BONDADA	134 493 206 502 
P	211 493 220 502 
Spouse	328 492 377 503 
65	458 493 474 502 
100	518 494 542 503 
SHESARATNAM	121 506 234 515 
"Consolidated	29 528 128 538 
Stamp	132 529 176 540 
duty	182 529 212 540 
paid	216 529 246 540 
vide	251 529 281 538 
Proceeding	285 529 364 540 
No :	369 529 395 538 
GSO5/E6063691/2022	401 529 551 538 
1:/17/2022"	575 529 662 538 
In	32 545 44 554 
the	48 545 69 554 
event	74 546 110 554 
of	114 545 127 553 
the	131 545 151 554 
policy	156 545 194 556 
being	198 545 234 556 
withdrawn	238 545 305 554 
in	309 545 321 553 
future,	325 545 366 555 
intimation	372 545 434 553 
about	439 545 476 554 
the	481 545 501 554 
withdrawal	505 545 575 553 
will	579 545 600 553 
be	605 545 621 554 
sent	625 545 654 554 
3	658 545 666 554 
months	671 545 718 554 
prior	724 545 754 556 
to	757 545 769 553 
the	774 545 794 554 
date	799 545 828 553 
when	832 545 867 553 
renewal	872 545 923 554 
falls	928 545 954 553 
due.	32 558 59 567 
The	60 557 86 566 
insured	91 557 139 566 
will	145 557 166 566 
have	171 557 202 566 
the	208 558 229 567 
option	235 557 275 568 
of	279 557 292 567 
migrating	298 558 358 569 
to	363 558 376 567 
any	381 560 405 569 
other	410 558 444 567 
similar	449 557 492 567 
health	497 557 537 567 
insurance	543 557 606 567 
policy	612 557 649 568 
offered	655 557 701 567 
by	706 557 722 568 
the	727 558 748 567 
Company	753 557 816 569 
at	822 558 835 567 
the	839 558 859 567 
relevant	865 558 918 567 
time.	922 557 954 567 
Continuity	32 570 98 581 
of	102 570 115 579 
benefits	120 570 171 579 
for	176 570 194 579 
waiting	198 570 244 581 
period	249 570 290 581 
and	295 570 319 579 
bonus,	325 570 368 580 
if	374 570 382 579 
any	387 572 411 581 
and	415 570 439 579 
if	445 570 452 579 
applicable,	458 570 527 581 
will	532 570 553 579 
be	558 570 575 579 
given	579 570 615 581 
provided	620 570 676 581 
the	681 570 702 579 
insured	707 570 755 579 
had	760 570 784 579 
been	789 570 822 579 
renewing	828 570 886 581 
the	892 570 912 579 
policy	918 570 955 581 
without	31 583 79 592 
any	83 585 107 594 
break	111 583 148 592 
(or	152 583 170 593 
renewing	174 583 233 594 
within	237 583 275 591 
the	278 583 299 592 
grace	303 585 340 594 
period	345 583 385 593 
offered)	389 583 439 593 
It	32 602 41 610 
is	44 602 55 610 
hereby	59 602 104 613 
made	108 602 144 611 
clear	149 602 181 611 
that	184 602 209 611 
all	214 602 228 611 
terms,	232 602 272 612 
conditions,	277 602 347 612 
clauses,	351 602 405 612 
warranties,	409 602 481 612 
exclusions	485 602 554 611 
etc.,	558 602 585 612 
as	590 604 605 611 
already	610 602 658 613 
issued,	662 602 708 612 
forming	713 602 762 613 
part	766 602 792 613 
of	795 602 808 611 
the	811 602 832 611 
policy	836 602 874 613 
of	878 602 891 611 
insurance	32 615 95 623 
originally	99 614 158 625 
issued	162 614 204 623 
at	208 615 221 623 
the	224 615 245 623 
time	249 614 276 623 
of	281 614 294 623 
inception	298 614 356 625 
of	361 614 374 623 
this	376 614 399 623 
relationship,	404 614 482 625 
shall	487 614 517 623 
continue	522 614 577 623 
to	581 615 593 623 
be	597 614 614 623 
operative	618 615 678 626 
and	683 615 707 623 
unaltered,	711 615 776 625 
forming	781 614 830 626 
part	834 615 860 626 
of	864 615 876 623 
this	879 615 903 623 
renewal	32 627 83 636 
insurance	88 627 151 636 
cover	155 629 192 636 
also.	196 627 226 636 
Reference	32 653 99 662 
may	104 655 132 664 
be	136 653 152 662 
made	156 653 193 662 
to	196 653 209 661 
those	213 653 249 662 
terms,	253 653 294 663 
conditions	298 653 365 662 
etc.,	369 653 395 663 
for	400 653 418 662 
identifying	422 653 488 664 
the	492 653 512 662 
scope/extent	516 653 601 664 
of	604 653 617 662 
coverage.	621 654 684 663 
Other	32 690 69 699 
excluded	73 691 132 700 
expenses	136 693 199 702 
as	203 693 218 700 
detailed	222 690 274 700 
in	278 691 289 700 
our	294 693 315 700 
website	318 691 368 700 
"www.starhealth.in"	373 690 500 699 
In	35 714 46 723 
witness	51 714 100 723 
whereof	104 713 158 722 
the	162 714 182 723 
undersigned	188 713 268 725 
being	274 713 309 725 
authorized	314 713 382 723 
by	388 713 404 724 
and	408 713 432 723 
on	438 716 454 723 
behalf	459 713 500 723 
of	504 713 517 723 
the	521 714 542 723 
company	546 716 606 725 
has	612 713 635 723 
set	640 714 660 723 
his	665 713 683 723 
hand	688 713 721 723 
at	731 714 744 722 
Branch	748 713 795 723 
Office	800 713 839 723 
-	843 717 848 720 
Tanuku	852 713 901 723 
on	906 716 923 723 
27th	34 727 62 736 
Day	67 727 93 737 
of	96 727 110 735 
January	113 727 166 737 
2023.	169 727 205 736 
Permanent	42 743 117 752 
Exclusion	122 743 189 752 
Details	195 743 242 752 
Insured	120 767 171 776 
Name	177 767 216 776 
ID	384 768 398 777 
Card	402 768 434 778 
Permanent	555 767 631 776 
Exclusion	635 767 704 776 
Disease	709 767 764 776 
Entered	78 841 123 849 
by	126 841 140 850 
:	172 843 174 849 
PREMIA	181 842 231 850 
For	622 839 642 847 
Star	645 839 670 847 
Health	674 839 711 847 
and	715 839 736 847 
Allied	739 839 772 847 
Insurance	776 839 832 847 
Company	836 839 892 849 
Ltd.	896 839 918 847 
Approved	75 861 132 870 
by	136 861 149 871 
:	171 862 174 868 
PORTAL	179 862 232 871 
R.Mos	759 865 845 892 
Authorised	709 915 772 923 
Signatory	775 915 831 925 
3	853 934 861 943 
of	874 933 887 942 
4	892 933 901 942 

TAX	29 104 62 114 
Invoice	68 104 123 114 
STAR	764 121 873 143 
Health	884 135 916 142 
Personal	790 145 829 150 
&	832 145 839 150 
Caring	842 145 872 152 
Insurance	884 144 931 151 
The	751 156 769 161 
Health	772 156 805 162 
Insurance	808 156 858 162 
Specialist	862 156 912 163 
Invoice	28 176 74 184 
No.	78 176 99 184 
:	146 178 149 185 
37J586Y23P000079	171 176 304 185 
Customer	465 174 529 183 
ID	534 174 547 183 
:	625 179 629 185 
AA0023194065	649 174 751 183 
Invoice	28 193 73 202 
Date	78 193 108 202 
:	145 197 148 203 
27/01/23	170 193 227 202 
Policy	466 194 505 205 
No	509 194 528 203 
:	627 198 630 204 
P/613003/01/2023/000533	651 195 822 204 
Recipient	116 213 177 223 
Supplier	625 211 679 222 
GSTIN	26 235 70 243 
:	145 238 148 244 
-	171 238 175 240 
GSTIN	466 233 512 242 
:	626 238 629 245 
37AAJCS4517L1ZX	650 235 781 243 
Proposer's	26 252 95 263 
:	145 254 148 261 
BONDADA	171 252 244 260 
NAGESWAR	252 252 338 260 
RAO	342 252 374 260 
NAME	467 252 509 260 
:	628 256 631 263 
Star	651 253 678 262 
Health	686 253 728 262 
and	737 253 762 262 
Allied	770 253 806 261 
Insurance	816 253 879 262 
Co	889 253 907 261 
Name	26 266 64 274 
Ltd	651 266 671 274 
-	674 269 679 272 
Branch	684 266 729 274 
Office	734 265 772 274 
-	776 270 782 272 
Tanuku	786 266 834 274 
Address	25 284 79 293 
:	146 287 149 293 
H	171 283 181 292 
NO-4-108,	184 283 256 293 
|	262 283 265 292 
OB	270 283 291 292 
Address	465 285 519 294 
:	627 287 631 294 
Door	652 285 683 293 
No.32-11-19,1	687 284 777 294 
1st	774 285 793 293 
Floor,	797 285 834 295 
STREET,NEAR	171 296 273 307 
I	278 297 281 305 
OB,	286 296 310 306 
Opp.	651 299 682 310 
Ammana	686 300 746 308 
Plaza,	751 299 789 309 
NIDAMARRU	171 311 260 319 
Velpur	651 314 694 325 
Road,Tanuku,	699 314 790 324 
W.G.Dist-534222	795 314 912 323 
MANDAL,PEDANINDRAKOLANU	172 323 392 333 
City	26 354 52 365 
:	144 356 148 363 
Pedanindrakolanu,V	172 354 297 364 
West	294 355 327 363 
City	466 355 491 366 
:	628 357 631 363 
TANUKU	655 354 716 364 
Godavari,	172 367 238 377 
Pradesh	287 367 341 376 
State	27 387 61 395 
:	145 391 148 397 
Andhra	171 387 218 396 
Pradesh	223 387 277 396 
State	466 386 499 395 
:	626 388 630 395 
Andhra	652 387 699 395 
Pradesh	704 387 758 395 
Pincode	27 407 79 416 
:	146 411 149 418 
534195	172 409 221 418 
Pincode	466 407 519 415 
:	626 410 629 417 
534222	652 408 701 416 
Client	26 427 64 437 
Category	67 427 127 438 
:	145 431 148 437 
IND	174 428 198 437 
Place	466 427 501 436 
of	505 427 518 436 
Supply	522 427 567 438 
:	628 430 631 437 
37	653 427 669 436 
-	673 431 678 433 
Andhra	682 427 729 436 
Pradesh	734 427 788 436 
HSN	27 455 57 463 
/	61 455 66 463 
Description	85 455 158 466 
of	163 455 175 463 
Total	199 453 232 461 
Discount	267 452 324 461 
TaxableValue	336 452 428 461 
IGST	438 453 472 462 
@	477 453 489 462 
18%	496 453 524 462 
CGST	534 453 575 462 
@9%	580 453 615 462 
UT/SGST@9%	627 453 727 462 
CESS@1%	737 453 815 463 
Total	825 449 857 458 
InvoiceValue	862 449 946 458 
SAC	27 467 57 476 
Service(s)	85 467 150 479 
A	214 475 224 483 
B	286 475 295 483 
Code	27 480 62 489 
C=A-B	341 475 401 484 
D	437 475 447 483 
=	451 478 460 482 
C	464 474 474 483 
*	478 475 484 479 
IGST	489 474 522 483 
E	560 474 569 483 
=	574 477 583 482 
C	586 474 597 483 
F=C	655 474 691 483 
G=C*Cess	739 474 809 483 
H=C+D+E+F+G	832 472 936 481 
*CGST	556 487 602 496 
*UTGST	639 487 693 495 
or	697 489 711 496 
SGST	654 499 694 508 
997133	26 520 75 529 
Insurance	98 520 162 529 
38250	202 518 242 527 
0	290 519 298 527 
38250	361 520 402 528 
3443	551 520 583 528 
3443	660 521 693 530 
Rs.	830 522 851 530 
45136	855 522 896 530 
Services	102 533 158 542 
Total	27 551 59 560 
Invoice	65 551 110 560 
Value	115 551 152 560 
(in	157 551 172 562 
Figures)	177 551 229 562 
:	302 555 305 562 
Rs.	324 553 344 562 
45136	350 553 391 562 
Total	28 572 61 581 
Invoice	65 573 111 581 
Value	115 573 152 581 
(in	158 572 174 583 
Words)	177 572 224 583 
:	302 575 306 582 
Rupees:	324 572 378 583 
Forty-five	387 572 447 583 
thousand	451 572 512 581 
one	516 574 541 581 
hundred	324 585 377 593 
thirty-six	381 585 436 596 
only	441 585 468 596 
Amount	28 603 79 612 
of	82 603 95 612 
Tax	99 603 124 612 
Subject	128 603 177 614 
to	180 604 193 612 
reverse	197 605 245 612 
Charge	251 603 299 614 
No	324 604 342 613 
Important	28 630 101 641 
Note:	107 630 147 640 
The	26 656 52 664 
invoice	56 656 101 665 
is	106 656 116 664 
issued	121 656 163 664 
as	167 658 182 664 
per	187 658 208 667 
Section	212 656 261 664 
31	265 656 279 665 
of	286 656 298 664 
the	302 656 322 664 
CGST	327 656 368 664 
Act	372 656 394 664 
In	27 682 38 690 
case	43 683 74 690 
no	78 683 94 690 
GSTIN	99 681 144 690 
or	148 683 161 690 
incorrect	165 682 221 690 
GSTIN	224 681 269 690 
is	274 682 284 690 
provided	289 682 345 692 
by	349 682 365 692 
the	369 682 389 690 
Proposer	394 681 454 692 
at	458 682 470 690 
Proposal	474 682 531 692 
stage,	536 682 575 693 
Star	580 681 607 690 
Health	612 681 654 690 
and	658 682 682 690 
Allied	686 682 722 690 
Insurance	727 682 791 690 
Co	795 681 814 690 
Ltd	818 682 838 690 
shall	842 682 872 690 
not	877 682 898 690 
be	26 694 42 703 
responsible	48 694 122 705 
for	126 694 144 703 
any	148 696 172 705 
Input	176 694 208 705 
Tax	212 694 236 703 
Credit	241 694 280 703 
losses	284 694 325 703 
and	330 694 354 703 
no	359 696 375 703 
subsequent	379 694 455 705 
revision	459 694 509 703 
of	514 694 527 703 
invoice	530 694 575 703 
will	579 694 600 703 
be	605 694 621 703 
undertaken.	625 694 702 703 
I/We	25 711 54 720 
hereby	59 711 106 722 
declare	111 711 162 720 
that	166 711 193 720 
though	198 711 246 722 
our	251 713 275 720 
aggregate	279 712 349 722 
turnover	354 712 413 720 
in	417 711 429 720 
any	435 713 459 722 
preceding	464 711 533 722 
financial	538 711 597 720 
year	602 713 632 722 
from	636 711 668 720 
2017-18	673 711 727 720 
onwards	732 711 791 720 
is	796 711 806 720 
more	812 713 848 720 
than	852 711 882 720 
the	887 711 909 720 
aggregate	24 724 94 735 
turnover	98 724 158 732 
notified	162 723 214 732 
under	219 724 259 733 
sub-rule	265 723 322 732 
(4)	327 723 344 734 
of	349 723 362 732 
rule	367 724 394 733 
48,	398 724 417 734 
we	422 726 441 732 
are	446 726 468 733 
not	472 724 494 733 
required	499 724 556 734 
to	562 724 575 732 
prepare	580 725 634 734 
an	638 726 654 732 
invoice	659 723 709 732 
in	714 724 726 733 
terms	731 724 771 732 
of	775 723 789 732 
the	793 724 815 733 
provisions	820 723 893 734 
of	898 723 911 732 
the	24 737 46 746 
said	51 737 79 745 
sub-rule.	84 737 145 746 
E.	25 760 38 768 
&	43 760 52 768 
O.E	58 760 83 768 
This	25 779 52 788 
is	56 779 66 788 
a	71 781 79 788 
digitally	84 779 132 790 
signed	136 779 179 790 
document	184 779 249 788 
and	253 779 277 788 
hence	281 779 321 788 
no	325 781 342 788 
physical	346 779 398 790 
signature	403 780 464 790 
is	468 780 478 788 
required	482 780 536 790 
IRDAI	19 798 68 808 
Regn.	74 798 121 811 
No	128 798 151 809 
129	158 798 186 808 
Corporate	197 798 282 811 
Identity	288 798 351 811 
Number	356 798 423 808 
L66010TN2005PLC056649	435 798 655 809 
Email	666 798 711 808 
ID:stargst@starhealth.in	721 797 943 811 
Entered	78 841 122 849 
by	126 841 140 850 
:	172 843 174 849 
PREMIA	181 842 231 850 
For	623 839 642 847 
Star	646 839 670 847 
Health	674 839 711 847 
and	715 839 736 847 
Allied	740 839 772 847 
Insurance	776 839 832 847 
Company	837 839 893 849 
Ltd.	896 839 918 847 
Approved	75 861 131 870 
by	136 861 149 871 
:	171 862 174 868 
PORTAL	179 862 231 870 
R.Morro	749 865 845 892 
Authorised	709 915 771 923 
Signatory	776 915 831 925 
4	853 934 861 942 
of	874 933 887 941 
4	892 933 901 942 

Star	355 89 384 98 
Critical	388 89 437 98 
Illness	442 89 486 98 
Multipay	492 89 551 100 
Insurance	556 89 625 98 
Policy	629 89 672 100 
Unique	321 101 370 112 
Identification	375 101 464 110 
No.	470 101 494 110 
:	498 103 502 110 
SHAHLIP22140V012122	506 101 671 110 
Policy	434 114 476 125 
Schedule	481 114 546 123 
In	29 146 41 154 
consideration	45 145 141 154 
of	145 145 159 154 
payment	164 146 224 157 
of	228 145 242 154 
Rs.22620/-	248 145 319 154 
towards	326 146 383 154 
renewal	388 145 442 154 
premium	446 145 508 156 
of	513 145 527 154 
Policy	531 145 574 156 
number:	578 146 636 154 
P/121112/01/2022/022741,	646 145 824 156 
the	826 146 849 154 
policy	853 146 895 157 
stands	899 146 946 154 
renewed	28 158 86 167 
